iter	Passed	Remaining
326	4249325	8745552
327	4262473	8732871
328	4275745	8720440
329	4288925	8707818
330	4302137	8695257
331	4315391	8682775
332	4328595	8670189
333	4341736	8657474
334	4355016	8645033
335	4368198	8632391
336	4381389	8619765
337	4394716	8607403
338	4407962	8594877
339	4421039	8582017
340	4434612	8570116
341	4447838	8557537
342	4460981	8544795
343	4474309	8532404
344	4487716	8520157
345	4501073	8507810
346	4514888	8496318
347	4528313	8484082
348	4541332	8471082
349	4554056	8457532
350	4566771	8443974
351	4579497	8430438
352	4592237	8416934
353	4604953	8403390
354	4617693	8389893
355	4630458	8376447
356	4643192	8362949
357	4655893	8349395
358	4668480	8335644
359	4681194	8322124
360	4693971	8308719
361	4706689	8295215
362	4719355	8281623
363	4732196	8268343
364	4744997	8254996
365	4757575	8241265
366	4770352	8227882
367	4783223	8214665
368	4796654	8202408
369	4809922	8189867
370	4823107	8177183
371	4836302	8164510
372	4849491	8151826
373	4862684	8139145
374	4875851	8126419
375	4888999	8113659
376	4902183	8100955
377	4915783	8088934
378	4929052	8076362
379	4942208	8063603
380	4955378	8050864
381	4968577	8038170
382	4981792	8025498
383	4995002	8012816
384	5008224	8000150
385	5021317	7987277
386	5034420	7974418
387	5047724	7961873
388	5060847	7949042
389	5073852	7936026
390	5087050	7923309
391	5100347	7910743
392	5113522	7897985
393	5126354	7884697
394	5139153	7871361
395	5152394	7858703
396	5166232	7846947
397	5179557	7834405
398	5193134	7822240
399	5206551	7809827
400	5220062	7797550
401	5233521	7785188
402	5247063	7772944
403	5260488	7760522
404	5273934	7748125
405	5287552	7735976
406	5301054	7723650
407	5314671	7711483
408	5328224	7699219
409	5341731	7686881
410	5355365	7674721
411	5368907	7662422
412	5382401	7650047
413	5395931	7637719
414	5409518	7625465
415	5422966	7613010
416	5436544	7600732
417	5450092	7588406
418	5463606	7576026
419	5477125	7563649
420	5490637	7551257
421	5504150	7538860
422	5517737	7526558
423	5531358	7514297
424	5544857	7501865
425	5558517	7489646
426	5572173	7477412
427	5585779	7465107
428	5599370	7452775
429	5613051	7440557
430	5626570	7428117
431	5640198	7415816
432	5653985	7403717
433	5667580	7391360
434	5681098	7378897
435	5694607	7366418
436	5708201	7354043
437	5721605	7341420
438	5735097	7328906
439	5748375	7316113
440	5761832	7303547
441	5775319	7291014
442	5788930	7278632
443	5802675	7266413
444	5816004	7253668
445	5829237	7240801
446	5842413	7227863
447	5855598	7214933
448	5868815	7202042
449	5881906	7188996
450	5895144	7176129
451	5908316	7163180
452	5921396	7150119
453	5934615	7137225
454	5947741	7124217
455	5960856	7111197
456	5974080	7098305
457	5987190	7085278
458	6000102	7072016
459	6013300	7059091
460	6026480	7046145
461	6039637	7033171
462	6053039	7020479
463	6066313	7007638
464	6079464	6994652
465	6092706	6981770
466	6105885	6968816
467	6119028	6955818
468	6132228	6942885
469	6145389	6929906
470	6158654	6917044
471	6171875	6904132
472	6185002	6891112
473	6198173	6878141
474	6211609	6865462
475	6225070	6852808
476	6238758	6840400
477	6251620	6827083
478	6264328	6813601
479	6277695	6800837
480	6290969	6787969
481	6304161	6775012
482	6317329	6762027
483	6330625	6749179
484	6343880	6736285
485	6357315	6723580
486	6370514	6710624
487	6383530	6697474
488	6396766	6684555
489	6409964	6671595
490	6423209	6658684
491	6436463	6645779
492	6449724	6632881
493	6462933	6619928
494	6476236	6607069
495	6489597	6594268
496	6502865	6581371
497	6516103	6568441
498	6529403	6555573
499	6542542	6542542
500	6555819	6529648
501	6569078	6516735
502	6582052	6503539
503	6594692	6490014
504	6607377	6476538
505	6620040	6463043
506	6632669	6449519
507	6645302	6436001
508	6657886	6422440
509	6670510	6408922
510	6683213	6395482
511	6695842	6381974
512	6708469	6368469
513	6721124	6354992
514	6734581	6342275
515	6747593	6329138
516	6760387	6315797
517	6773709	6302949
518	6786372	6289489
519	6799045	6276042
520	6811680	6262562
521	6824368	6249134
522	6836953	6235615
523	6849593	6222150
524	6862463	6208895
525	6875747	6196015
526	6889376	6183444
527	6903296	6171128
528	6917259	6158845
529	6930374	6145803
530	6943840	6133072
531	6957536	6120539
532	6970296	6107183
533	6982855	6093653
534	6995461	6080167
535	7008073	6066690
536	7020657	6053192
537	7033324	6039769
538	7046368	6026671
539	7059212	6013403
540	7072023	6000108
541	7084913	5986882
542	7097762	5973623
543	7111715	5961290
544	7125053	5948438
545	7137617	5934941
546	7150200	5921464
547	7162820	5908020
548	7175458	5894593
549	7188060	5881140
550	7200603	5867642
551	7213214	5854203
552	7225883	5840813
553	7238395	5827300
554	7251409	5814193
555	7264931	5801491
556	7278234	5788613
557	7291089	5775379
558	7303803	5762034
559	7316531	5748702
560	7329342	5735439
561	7342117	5722148
562	7354862	5708836
563	7367800	5695675
564	7380631	5682433
565	7393445	5669178
566	7406771	5656317
567	7420527	5643781
568	7433937	5630979
569	7447361	5618184
570	7461027	5605570
571	7474627	5592903
572	7488228	5580233
573	7501747	5567498
574	7514938	5554519
575	7527640	5541179
576	7540245	5527770
577	7552858	5514370
578	7565550	5501030
579	7578193	5487657
